Model,Feature_Selection,Dimensionality_Reduction_Technique,CV MSE Mean,CV MSE SD,CV MAE Mean,CV MAE SD,Final MSE,Final MAE
NSVR-2,None,None,2900.080625656074,2621.148332668631,36.082115927096595,10.564001555345083,846.4984361705153,26.900671615498563
NSVR-2,ANOVA1,None,1512.897193551604,1365.745834294312,24.532999032003197,15.048742980938757,1021.8566325424456,16.31077328451027
NSVR-2,ANOVA2,None,1052.8413647730836,725.0013872077329,23.759896957693844,7.4914200536464355,653.1084376646237,15.026043422688247
NSVR-2,ANOVA3,None,5717.376640587824,8953.018093765517,37.913687063427005,20.61500966205705,721.6178577057573,22.748978971573024
NSVR-2,CHISQ1,None,953.4299044252269,962.8815495860272,18.784347064446624,8.716701949023605,1021.8566325424456,16.31077328451027
NSVR-2,CHISQ2,None,1052.8413647730836,725.0013872077329,23.759896957693844,7.4914200536464355,653.1084376646237,15.026043422688247
NSVR-2,CHISQ3,None,1823.4391444154505,1245.9235373617869,30.107502952874494,5.708302767043316,766.6182249658553,24.507532909234342
NSVR-2,MIT1,None,953.4299044252269,962.8815495860272,18.784347064446624,8.716701949023605,1021.8566325424456,16.31077328451027
NSVR-2,MIT2,None,1052.8413647730836,725.0013872077329,23.759896957693844,7.4914200536464355,653.1084376646237,15.026043422688247
NSVR-2,MIT3,None,5717.376640587824,8953.018093765517,37.913687063427005,20.61500966205705,721.6178577057573,22.748978971573024
NSVR-2,PCR1,None,953.4299044252269,962.8815495860272,18.784347064446624,8.716701949023605,1021.8566325424456,16.31077328451027
NSVR-2,PCR2,None,1118.0569455916843,868.3995934386099,22.80158532519988,8.083502214514095,796.7689626891928,20.13735624911217
NSVR-2,PCR3,None,2852.464501567316,3414.165392069329,31.88666192569317,13.938047298102505,822.2007831410119,23.74148091878645
NSVR-2,None,DL1,978087561.3078525,1938147919.1123588,6261.29814816746,10835.439944332504,125129863.146504,8448.857520740712
NSVR-2,None,DL2,399624992.0502288,783125039.9740994,4283.602587618834,7051.418532846472,115131615.31441233,8103.887138929954
NSVR-2,None,DL3,970902134.3596748,1941753308.479986,5592.21232028832,11042.883784938764,129006205.80651508,7828.017928229988
NSVR-2,None,FA1,1582.9681377482389,476.2343271965512,33.87295606063738,4.176724671924179,1281.9232120259048,35.44997147373832
NSVR-2,None,FA2,23230.933776346308,43405.15475584394,57.836417652265524,47.832974328493336,1263.204370266921,35.18553091408668
NSVR-2,None,FA3,18531.795606634936,34228.14745675199,53.6412152488689,42.96973352207418,1267.93012644835,35.24743514377701
NSVR-2,None,ICA1,1424.2403967917257,378.59932708608403,32.66303195138696,2.083693955460002,1221.7375190568284,34.56708235312291
NSVR-2,None,ICA2,10037.99156518221,16893.904616455544,48.564020330632054,28.86659986912523,1284.8085368383843,35.5366785103719
NSVR-2,None,ICA3,6489.750516716752,10029.38599169409,44.01517845147041,22.39121124123735,1323.85703648721,36.063534795598265
NSVR-2,None,IPCA1,1438.2120983352895,374.95340652222757,32.850908229741044,2.0493165529767268,1221.821333675611,34.56660177624116
NSVR-2,None,IPCA2,6730.497133704109,10644.623962668835,43.764324395412125,22.965683189706283,1254.8781319007137,35.06950215505985
NSVR-2,None,IPCA3,6871.487912772036,10913.328061780181,43.99687777237695,23.340255846206514,1272.198581034809,35.31217209708984
NSVR-2,None,KPCA1-2,1737.9636189721557,452.72506201494036,35.146901947109185,3.7794694269401283,1234.6787316511586,34.73650028291782
NSVR-2,None,KPCA2-2,79168.01249536769,155487.78805591658,78.64075396083355,92.28989196536013,1260.563900766475,35.15111439482021
NSVR-2,None,KPCA3-2,85628.99426760137,168367.38641538718,80.86712859770509,96.06014191595179,1275.7861879234763,35.363153190550484
NSVR-2,None,KPCA1-3,5774.603511090385,6049.907052195571,45.93717178403689,17.359226282815097,1248.7345000254945,34.92076581404143
NSVR-2,None,KPCA2-3,1738015.3729935375,3473064.7456338434,254.832782774595,443.1176810649799,1270.262412007426,35.27958379840882
NSVR-2,None,KPCA3-3,2058811.3059019137,4114230.438701434,275.93449154911116,481.9192699314298,1284.9502329272489,35.48376704965145
NSVR-2,None,KPCA1-4,147349.13452402936,270684.9827481206,108.87113291866133,119.21994985745054,1263.6394287110006,35.11691160111017
NSVR-2,None,KPCA2-4,43864966.71913159,87725593.3016374,1154.4820977874936,2235.0384450702472,1280.5463138692994,35.41585835198401
NSVR-2,None,KPCA3-4,61734742.267569505,123459183.92722934,1368.3347142477655,2649.7348408477783,1294.5168033677942,35.61013088542981
NSVR-2,None,KPCA1-5,8196853.016662155,16222786.76037458,556.3883989452795,943.8366795204352,1279.0471432181125,35.32104893243013
NSVR-2,None,KPCA2-5,1289513129.7562978,2578998083.150696,6117.848507142675,12129.191372774423,1291.1756957718742,35.55695481489337
NSVR-2,None,KPCA3-5,2109977222.3264542,4219869354.620482,7826.040181280412,15511.45990126807,1304.1397936112594,35.73762232076971
NSVR-2,None,KPCA1-6,551033791.3816835,1100879941.616897,4113.222995093312,7875.484743370986,1294.533164550946,35.528367308433516
NSVR-2,None,KPCA2-6,46434137978.973076,92867806968.57504,36527.754298988075,72808.84058254553,1301.8513468037172,35.69909404071609
NSVR-2,None,KPCA3-6,86254397149.46957,172507964878.02332,49771.07375998324,99235.1018537002,1313.5570739447878,35.862785285701214
NSVR-2,None,KPCA1-R,1329.112039470901,403.8505166837222,31.096136601429485,1.615778121719754,1220.0801622873444,34.55792293278898
NSVR-2,None,KPCA2-R,1345.4153488518855,428.32786679606,31.54978875358446,1.8543000589471044,1250.6885320476365,35.03146161124237
NSVR-2,None,KPCA3-R,1368.7611438773458,430.88240276632115,31.84676499169413,1.943937495230561,1270.7359660361162,35.31014013716752
